fishID,exPlate,exConc,broodID,pop,year,age,dilPlate,dilWell,dilConc,action,subPlate,subWell,volDil,volWater,volExt,volWater
221453,TH-Ext-2023-010,91.48,9107_2021_221453_M,CHILLIWACK_RIVER_fall,2021,3,P2,F3,29.06,as-is,P2,C2,10,0,,
219348,TH-Ext-2023-011,91.28,100_2021_219348_M,QUALICUM_RIVER,2021,4,P2,G3,26.32,as-is,P2,D2,10,0,,
25214,TH-Ext-2023-008,91.07,9105_2019_25214_M,PUNTLEDGE_RIVER_fall,2019,4,P2,A4,23.39,as-is,P2,E2,10,0,,
18159,TH-Ext-2023-004,91.03,9107_2017_18159_M,CHILLIWACK_RIVER_fall,2017,3,P2,B4,20.38,as-is,P2,F2,10,0,,
1275,TH-Ext-2023-006,90.77,9105_2018_1275_M,PUNTLEDGE_RIVER_fall,2018,3,P2,C4,22.81,as-is,P2,G2,10,0,,
240294,TH-Ext-2023-011,90.33,9105_2021_240294_M,PUNTLEDGE_RIVER_fall,2021,4,P2,E4,21.39,as-is,P2,H2,10,0,,
1394,TH-Ext-2023-006,89.5,9105_2018_1394_M,PUNTLEDGE_RIVER_fall,2018,3,P2,G4,22.09,as-is,P2,A3,10,0,,
223707,TH-Ext-2023-010,89.22,9107_2021_223707_M,CHILLIWACK_RIVER_fall,2021,3,P2,A5,19.41,as-is,P2,B3,10,0,,
219583,TH-Ext-2023-011,88.94,100_2021_219583_M,QUALICUM_RIVER,2021,4,P2,B5,21.78,as-is,P2,C3,10,0,,
219374,TH-Ext-2023-011,88.93,100_2021_219374_M,QUALICUM_RIVER,2021,3,P2,C5,22.84,as-is,P2,D3,10,0,,
240416,TH-Ext-2023-011,88.39,9105_2021_240416_M,PUNTLEDGE_RIVER_fall,2021,3,P2,D5,21.2,as-is,P2,E3,10,0,,
18147,TH-Ext-2023-006,87.95,9107_2018_18147_M,CHILLIWACK_RIVER_fall,2018,3,P2,E5,24,as-is,P2,F3,10,0,,
219479,TH-Ext-2023-011,87.72,100_2021_219479_M,QUALICUM_RIVER,2021,3,P2,F5,21.49,as-is,P2,G3,10,0,,
240387,TH-Ext-2023-011,87.63,9105_2021_240387_M,PUNTLEDGE_RIVER_fall,2021,2,P2,G5,25.37,as-is,P2,H3,10,0,,
70984,TH-Ext-2023-010,87.45,100_2020_70984_M,QUALICUM_RIVER,2020,4,P2,H5,27.93,as-is,P2,A4,10,0,,
